query_id,READWARE,INQ601,Sab8A1,mds08a3,isa50t,ok8alx,att99ate,acsys8aln2,disco1,apl8c621,Flab8atd2,pir9Atd0,GE8ATD3,MITSLStd,ibms99a,Overall (Topic)
401,0.8,0.1,0.2,0.1,0.0,0.1,0.4,0.7,0.0,0.9,0.1,0.0,0.1,0.3,0.0,0.25333333333333335
402,0.7,0.3,0.5,0.7,0.0,1.0,0.6,1.0,0.0,0.9,0.5,0.1,0.5,0.7,0.5,0.5333333333333333
403,0.8,0.8,0.6,0.9,0.3,1.0,0.9,1.0,0.4,0.9,1.0,0.9,1.0,0.9,1.0,0.8266666666666668
404,0.8,0.2,0.2,0.1,0.0,0.6,0.2,0.4,0.1,0.4,0.3,0.5,0.3,0.4,0.3,0.32
405,0.7,0.1,0.3,0.3,0.0,0.3,0.3,0.2,0.0,0.6,0.5,0.5,0.5,0.2,0.4,0.32666666666666677
406,0.6,0.3,0.5,0.3,0.0,0.4,0.5,0.4,0.1,0.6,0.6,0.6,0.5,0.4,0.5,0.42
407,1.0,0.7,0.8,0.6,0.8,0.9,0.9,0.6,0.3,0.9,1.0,0.8,0.8,0.7,0.7,0.7666666666666667
408,1.0,0.2,0.3,0.4,0.6,0.6,0.2,0.4,0.1,0.2,0.4,0.4,0.3,0.4,0.4,0.3933333333333334
409,0.9,0.3,0.1,0.2,0.0,0.2,0.1,0.5,0.0,0.3,0.2,0.2,0.3,0.4,0.2,0.26
410,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,0.8933333333333333
411,0.9,0.5,0.4,0.4,0.0,0.7,0.6,0.5,0.0,0.9,0.3,0.5,0.5,0.5,0.4,0.47333333333333333
412,1.0,0.6,0.9,0.2,0.0,0.9,0.9,0.7,0.0,0.0,0.0,0.7,0.9,0.8,0.6,0.5466666666666667
413,0.9,0.0,0.0,0.7,0.0,0.8,0.1,0.6,0.1,0.7,1.0,0.3,0.8,0.4,0.4,0.45333333333333337
414,0.8,0.5,0.4,0.2,0.0,0.4,0.4,0.4,0.0,0.3,0.4,0.3,0.4,0.4,0.4,0.3533333333333334
415,0.6,1.0,1.0,0.7,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.8,0.9,1.0,0.8133333333333334
416,1.0,0.3,0.5,0.4,0.0,0.7,0.3,0.4,0.2,0.4,0.3,0.3,0.7,0.5,0.5,0.43333333333333335
417,0.9,0.3,0.5,0.3,0.0,0.6,0.0,0.7,0.0,0.5,0.0,0.4,0.0,0.6,0.7,0.36666666666666664
418,1.0,0.6,0.7,0.9,0.0,1.0,0.8,0.7,0.4,0.7,0.7,0.6,0.6,0.7,0.7,0.6733333333333332
419,0.7,0.2,0.1,0.2,0.0,0.1,0.1,0.2,0.2,0.3,0.1,0.1,0.2,0.3,0.4,0.21333333333333335
420,0.8,0.7,0.8,0.4,0.3,0.9,0.9,0.3,0.0,0.8,0.9,0.8,0.6,0.9,0.9,0.6666666666666666
421,0.7,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.3,0.0,0.0,0.1
422,1.0,0.9,0.8,0.3,0.0,1.0,0.5,0.6,0.0,0.3,0.9,1.0,0.8,0.5,0.8,0.6266666666666667
423,0.8,0.9,0.7,0.8,0.2,0.9,0.9,0.8,0.0,0.9,0.9,0.8,0.7,0.9,0.9,0.7400000000000001
424,0.9,0.0,0.2,0.1,0.0,0.6,0.4,0.5,0.0,0.5,0.7,0.2,0.7,0.4,0.4,0.3733333333333334
425,1.0,1.0,0.9,0.8,0.1,1.0,1.0,0.9,0.1,0.7,1.0,0.8,0.9,1.0,1.0,0.8133333333333334
426,1.0,0.3,0.4,0.4,0.1,0.5,0.0,0.5,0.0,0.6,0.5,0.8,0.3,0.1,0.6,0.4066666666666666
427,1.0,0.5,0.4,0.2,0.0,0.5,0.4,0.5,0.1,0.5,0.6,0.5,0.6,0.7,0.4,0.45999999999999996
428,0.9,0.6,0.4,0.2,0.1,0.3,0.2,0.2,0.4,0.4,0.4,0.0,0.3,0.5,0.4,0.3533333333333334
429,0.8,0.3,0.4,0.4,0.0,0.4,0.3,0.3,0.2,0.1,0.3,0.2,0.5,0.3,0.3,0.31999999999999995
430,0.2,0.3,0.4,0.3,0.0,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.29999999999999993
431,0.9,0.5,0.7,0.7,0.2,0.8,0.9,0.9,0.2,1.0,1.0,0.6,0.5,0.9,0.4,0.68
432,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.013333333333333334
433,0.6,0.1,0.1,0.2,0.0,0.2,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.2,0.2,0.13333333333333333
434,1.0,0.7,0.8,0.7,0.1,0.9,0.6,0.9,0.2,0.5,0.6,0.9,0.9,0.9,1.0,0.7133333333333334
435,0.7,0.5,0.4,0.1,0.0,0.5,0.6,0.2,0.0,0.4,0.3,0.3,0.3,0.2,0.3,0.32
436,1.0,0.5,0.4,0.3,0.1,0.1,0.8,0.1,0.0,0.4,0.5,0.9,0.5,0.5,0.5,0.44000000000000006
437,0.4,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.060000000000000005
438,0.9,0.3,0.7,0.1,0.0,0.5,0.3,0.3,0.2,0.0,0.0,0.4,0.5,0.8,0.5,0.3666666666666666
439,0.7,0.0,0.2,0.2,0.0,0.2,0.2,0.1,0.0,0.0,0.1,0.2,0.1,0.1,0.2,0.15333333333333335
440,0.6,0.4,0.9,0.1,0.1,0.6,0.7,0.4,0.0,0.4,0.6,0.8,0.5,0.3,0.4,0.4533333333333333
441,0.6,0.8,0.7,0.8,0.5,0.6,0.7,0.8,0.3,0.7,0.8,0.7,0.7,0.8,0.7,0.6799999999999999
442,0.7,0.0,0.0,0.1,0.0,0.3,0.0,0.0,0.0,0.2,0.3,0.1,0.0,0.2,0.1,0.13333333333333333
443,0.3,0.4,0.5,0.3,0.2,0.5,0.5,0.2,0.0,0.1,0.4,0.1,0.5,0.5,0.5,0.3333333333333333
444,0.4,0.8,0.8,0.9,0.0,0.8,0.9,0.9,0.0,1.0,0.6,1.0,0.3,1.0,0.9,0.6866666666666669
445,1.0,0.9,0.7,0.4,0.2,0.5,0.8,0.2,0.0,0.8,0.9,0.7,0.9,0.8,0.8,0.6400000000000001
446,0.9,0.8,0.8,0.1,0.0,0.7,0.9,0.8,0.1,0.6,0.5,0.8,0.6,0.5,0.6,0.5799999999999998
447,1.0,0.3,0.0,1.0,0.0,0.6,0.0,0.2,0.0,0.9,0.2,1.0,0.0,0.4,0.3,0.39333333333333337
448,0.3,0.1,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.1,0.3,0.2,0.2,0.1,0.2,0.14
449,0.6,0.3,0.6,0.2,0.0,0.7,0.5,0.4,0.0,0.4,0.4,0.4,0.3,0.2,0.4,0.36000000000000004
450,0.8,0.9,1.0,1.0,0.6,0.9,1.0,0.9,0.0,1.0,0.9,0.8,1.0,0.7,1.0,0.8333333333333335
Overall (System),0.7739999999999999,0.436,0.47800000000000004,0.4000000000000001,0.092,0.57,0.47600000000000003,0.478,0.09600000000000002,0.504,0.488,0.49199999999999994,0.482,0.508,0.504,0.4518666666666667
